Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Bumthang,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,1,from dorjibi till pangri village,43
Bumthang,1,Chhoekhor,1,Dawathang_Dorjibi_ Kashingtsawa,1,6,from lamai goenpa to lamaithang till jakar school campus.,57
Bumthang,1,Chhoekhor,1,Pedtsheling_Tamzhing,5,2,"Pedtsheling Lhakhang in the north-east, Pedtsheling village in the south-east, along the south-western road , above the main road from Bathpalathang airport to Tamzhing-Kharsoom road junction, community forest office in the north-west.",62
Bumthang,1,Chhumig,2,Domkhar,2,2,starting from domkhar palace above the road. one end point at VTI above road and another end point till gaytsa primary school but excluding the school.,59
Bumthang,1,Chhumig,2,Phurjoen,4,1,starting from Sonam kuenphen hss till the bridge after crossing hurchi village. whole hurchi village included. both above and below the road.,72
Bumthang,1,Tang,3,Dazur,2,3,starts from Rimochen and ends at BHU colony.,45
Bumthang,1,Tang,3,Khangrab,3,1,yumgangstarting from ugyencholing museum and end tashiling (yumgang),41
Bumthang,1,Ura,4,Shingkhar,2,1,,41
Chhukha,2,Bjagchhog,1,Wangkha,5,2,starting from bark restaurant including all the dentak  camp end with Phuntsholing Highway Checkpost,60
Chhukha,2,Bongo,2,Gedu_Miritsemo,4,3,starts from meritsemo ps till lhapam village,57
Chhukha,2,Chapchha,3,Dokharchhu_Rimtekha,2,1,"East side of gangkha, there is also a chapcha middle school. Ended with a single structure which is below the highway of Thimphu to phuentsholing. above the road there is  Bhutan power coporation.",44
Chhukha,2,Chapchha,3,Pagga,5,1,,51
Chhukha,2,Darla,4,Nyimgang_Tabji,3,6,starting from Nimgang village to till end (near dgpc colony),79
Chhukha,2,Darla,4,Tagp-Thang-Bu,6,6,starting from Ran Maya's house till Bhim Bdr kharka's house,121
Chhukha,2,Doongna,5,Babana_Papaling & Chhulakha_Mangdokha,1,1,,46
Chhukha,2,Geling,6,Dagpa_Sorchen,1,1,,85
Chhukha,2,Loggchina,8,Aamleg_Dofam,1,3,below lokchina middle. east there river and south there is pa chu.,69
Chhukha,2,Phuentshogling,10,Chong-Geykha_Dophulakha,1,1,staring from chonggeykha B above new BHU till,52
Chhukha,2,Phuentshogling,10,Lingdaen,4,2,starting from Eman Singh Rai till Ran Man Rai's house,21
Chhukha,2,Samphelling,11,Gongboogang_Pangna,1,3,"starting from pema Tshering shop (pangna C) to pangna B, Pratiman house",39
Chhukha,2,Samphelling,11,Pedtshel-Nang,3,2,starting from Yazilkha/Pakchina including Damchaylakha to till Zushitenkha,53
Chhukha,2,Samphelling,11,Sengyegang_Tsho-Chhoongna,5,8,starting from phurpaling/Barsa Goan village area,82
Dagana,3,Drukjeygang,2,Thangna,5,2,"above bawgaymo clief till tsangkha drukjaygang by pass, in and around thangna lhakhang",58
Dagana,3,Gesarling,3,Puensoomgang,2,1,,30
Dagana,3,Gozhi,4,Baleggang,2,4,shouth national high way. west  way towards baleygang pry school and east balekhorla.,50
Dagana,3,Gozhi,4,Gozhi,5,3,north upper goshi west simana khola est dagapela hopital and south hindu tempal way,36
Dagana,3,Karmaling,5,Karmaling,2,1,"Starting from bag kholsi, gewog office area till karmaling school",62
Dagana,3,Karna,6,Dalithang_ Gangyab_Khagochen,2,3,"East Daleythang LSS, West Jaringay Stream, North  Khagochen Hindu Temple South Top Ganjab Area",62
Dagana,3,Khebisa,7,Pakser,3,1,,45
Dagana,3,Nichula,10,Gangtogkha,4,1,,28
Dagana,3,Tashiding,11,Gangyab,1,1,,19
Dagana,3,Tashiding,11,Tashiding,5,2,below national highway from tashiding gewog office till daga chuu,61
Dagana,3,Tsangkha,12,Tsangkha,4,2,"tsangkha school area with gewog and twon arean, above town area and in and around old mangmi house",69
Dagana,3,Tseza,14,Karlingzingkha,1,1,,36
Gasa,4,Khamaed,1,Barsha_Panikong,1,1,,30
Gasa,4,Khamaed,1,Damji,2,1,,30
Gasa,4,Khamaed,1,Gayza_Zomina & Jabisa,3,1,,24
Gasa,4,Khamaed,1,Khailog_Tarshingthang,5,1,,20
Gasa,4,Khatoed,2,"Baychhu_Tshedpgang, Chhogley_Phulakha & Mani",1,1,,41
Gasa,4,Khatoed,2,Rimi & Tsheringkha,4,1,,24
Gasa,4,Laya,3,Chongra_Loobchag,1,1,,63
Gasa,4,Laya,3,Gyalza_Loong-Go,2,1,,61
Gasa,4,Laya,3,Neyloog,3,1,,53
Gasa,4,Laya,3,Pazhi,4,1,,54
Gasa,4,Laya,3,Toedkor,5,1,,31
Haa,5,Bji,1,Choompa_Jamgoen,2,1,,41
Haa,5,Gakiling,2,Phootsena_Ngatse,3,1,,35
Haa,5,Kar-tshog,3,Bali_Mombitshokha,1,1,,62
Haa,5,Kar-tshog,3,Ingo_Pharikha,3,2,"Starting from aum chencho's big house above the junction, including all the houses along the road (both below and to both sides after the junction) covering all the houses near the gewog office and school premises, ending at the river near the main town",59
Haa,5,Samar,4,Balamnang,1,1,,50
Haa,5,Sangbay,5,Mochhu,2,1,All of Mochhu village and from Ap Kakas till the end of Bebji village including those above the road in Bebji Village,70
Haa,5,Sangbay,5,Sangbay Ama,4,1,,75
Haa,5,Uesu,6,Kipri_Tagchhu,3,1,,44
Lhuentse,6,Gangzur,1,Jang_Ngar,1,1,"Starting from Ngar village; including Dengkaling, Gangzur mini hydro Power residences and Gangzur village.",57
Lhuentse,6,Gangzur,1,Ney,3,1,,61
Lhuentse,6,Gangzur,1,Thrima_Shawa_Zhamling,5,1,,57
Lhuentse,6,Jarey,2,Artobi_Ngang-Ngae,1,1,,41
Lhuentse,6,Khoma,3,Gangla_Kholma,3,1,,68
Lhuentse,6,Maedtsho,5,Gortshom_Tshangthrom-Maed,2,1,"starting from Drukla village including tongzigbi, nangmadung, golipang, gongdhar, tsangthrom maed, waney, kermodung and chongomey village.",42
Lhuentse,6,Maenbi,6,Maenjabi,2,1,,60
Lhuentse,6,Minjey,7,Chusa_Legshogang,3,1,,37
Lhuentse,6,Tsaenkhar,8,Artobadeb_Guendrang,1,1,,23
Lhuentse,6,Tsaenkhar,8,Dekaling_Tshochhen,3,2,"This EA starts from Tshenkhar mangi Lhakhang including Gamanang,Phoorshonggang,Tsholadrang, Tshochhen till Barchu steam.This Chiwogs EA Zones devides by Barchhu steam where north of Barchhu till Phowantoed and phuningla is EA1 and south of Barchhu till Gamanang Tshenkhar Mangi lhakhang is EA2.",62
Monggar,7,Balam,1,Jadoong_Yangbari,4,1,,68
Monggar,7,Chagsakhar,2,Doongsingma_Pam,2,1,staring from Zangpothn village and ends pam community Primary School,24
Monggar,7,Chhaling,3,Wangmakhar_Khalangji,5,2,Above Khalangji till Wangokhar village,21
Monggar,7,Dramedtse,4,Ba-Ging_Shadang,1,1,On the west side of Dramitse Lhakang. Starts near Ba-Ging community school and ends at Debara.,46
Monggar,7,Drepoong,5,Bainangri_Nyamla,1,1,,36
Monggar,7,Gongdue,6,Pikari_Yangbari,5,1,"start from the top of the village, east to pemagatshel, west to joka and ends at the village road near nanglam highway.",38
Monggar,7,Kengkhar,8,Olokid_Tsalabi,4,1,,40
Monggar,7,Monggar,9,Koenbar_Tagchhu,3,1,,60
Monggar,7,Ngatshang,11,Ngatshang,1,1,Starts from lhakhang below the highway till gochhagpo at the end,44
Monggar,7,Saling,12,Thridangbi,5,1,It starts from Yongkola that is directed towards the east. Yongkola that falls under Shershingthang village we can only see Villa resort nearby. We can also see temple indicating Ngentangla village. With only three households above the main road there is new village named Dhingor.,45
Monggar,7,Silambi,14,Kadag_Silambi,3,1,,47
Monggar,7,Thang-Rong,15,Bauchhoeling_Panglen,2,1,"start from chagyong toppest village of thangrong, east to yongphula, west to mongar and ends at bottom of lingibi village",31
Paro,8,Dokar,1,Khamdraag_Sali,3,4,Tashigang village & Dawakha school area,53
